wl,n
0.20000,0.919
0.20065,0.925
0.20130,0.930
0.20195,0.936
0.20261,0.942
0.20328,0.947
0.20395,0.953
0.20462,0.959
0.20530,0.965
0.20598,0.971
0.20667,0.977
0.20736,0.983
0.20805,0.989
0.20875,0.995
0.20946,1.001
0.21017,1.008
0.21088,1.014
0.21160,1.021
0.21233,1.027
0.21306,1.034
0.21379,1.040
0.21453,1.047
0.21528,1.054
0.21603,1.061
0.21678,1.068
0.21754,1.075
0.21831,1.082
0.21908,1.089
0.21986,1.096
0.22064,1.104
0.22143,1.111
0.22222,1.119
0.22302,1.126
0.22383,1.134
0.22464,1.142
0.22545,1.150
0.22628,1.158
0.22711,1.166
0.22794,1.174
0.22878,1.182
0.22963,1.191
0.23048,1.199
0.23134,1.208
0.23221,1.216
0.23308,1.225
0.23396,1.234
0.23485,1.243
0.23574,1.252
0.23664,1.261
0.23755,1.270
0.23846,1.279
0.23938,1.289
0.24031,1.298
0.24125,1.308
0.24219,1.318
0.24314,1.328
0.24409,1.338
0.24506,1.348
0.24603,1.358
0.24701,1.369
0.24800,1.379
0.24900,1.390
0.25000,1.401
0.25101,1.412
0.25203,1.423
0.25306,1.434
0.25410,1.445
0.25514,1.457
0.25620,1.469
0.25726,1.480
0.25833,1.492
0.25941,1.504
0.26050,1.517
0.26160,1.529
0.26271,1.541
0.26383,1.554
0.26496,1.567
0.26609,1.580
0.26724,1.593
0.26840,1.607
0.26957,1.620
0.27074,1.634
0.27193,1.648
0.27313,1.662
0.27434,1.676
0.27556,1.690
0.27679,1.705
0.27803,1.720
0.27928,1.734
0.28054,1.750
0.28182,1.765
0.28311,1.780
0.28440,1.796
0.28571,1.812
0.28704,1.828
0.28837,1.845
0.28972,1.861
0.29108,1.878
0.29245,1.895
0.29384,1.912
0.29524,1.930
0.29665,1.947
0.29808,1.965
0.29952,1.983
0.30097,2.002
0.30244,2.020
0.30392,2.039
0.30542,2.058
0.30693,2.078
0.30846,2.097
0.31000,2.117
0.31156,2.137
0.31313,2.157
0.31472,2.178
0.31633,2.199
0.31795,2.220
0.31959,2.241
0.32124,2.263
0.32292,2.285
0.32461,2.307
0.32632,2.329
0.32804,2.352
0.32979,2.375
0.33155,2.398
0.33333,2.422
0.33514,2.446
0.33696,2.470
0.33880,2.494
0.34066,2.519
0.34254,2.544
0.34444,2.569
0.34637,2.595
0.34831,2.620
0.35028,2.647
0.35227,2.673
0.35429,2.700
0.35632,2.727
0.35838,2.754
0.36047,2.781
0.36257,2.809
0.36471,2.837
0.36686,2.865
0.36905,2.894
0.37126,2.923
0.37349,2.952
0.37576,2.981
0.37805,3.011
0.38037,3.041
0.38272,3.071
0.38509,3.101
0.38750,3.132
0.38994,3.163
0.39241,3.194
0.39490,3.225
0.39744,3.256
0.40000,3.288
0.40260,3.320
0.40523,3.352
0.40789,3.384
0.41060,3.416
0.41333,3.448
0.41611,3.481
0.41892,3.513
0.42177,3.546
0.42466,3.578
0.42759,3.611
0.43056,3.644
0.43357,3.677
0.43662,3.709
0.43972,3.742
0.44286,3.775
0.44604,3.808
0.44928,3.840
0.45255,3.873
0.45588,3.905
0.45926,3.937
0.46269,3.969
0.46617,4.001
0.46970,4.033
0.47328,4.064
0.47692,4.095
0.48062,4.126
0.48438,4.157
0.48819,4.187
0.49206,4.217
0.49600,4.246
0.50000,4.275
0.50407,4.304
0.50820,4.332
0.51240,4.360
0.51667,4.388
0.52101,4.414
0.52542,4.441
0.52991,4.466
0.53448,4.492
0.53913,4.516
0.54386,4.540
0.54867,4.563
0.55357,4.586
0.55856,4.608
0.56364,4.629
0.56881,4.650
0.57407,4.670
0.57944,4.689
0.58491,4.708
0.59048,4.726
0.59615,4.743
0.60194,4.759
0.60784,4.774
0.61386,4.789
0.62000,4.803
0.62626,4.816
0.63265,4.829
0.63918,4.840
0.64583,4.851
0.65263,4.861
0.65957,4.870
0.66667,4.879
0.67391,4.886
0.68132,4.893
0.68889,4.899
0.69663,4.905
0.70455,4.909
0.71264,4.913
0.72093,4.916
0.72941,4.918
0.73810,4.919
0.74699,4.920
0.75610,4.920
0.76543,4.919
0.77500,4.918
0.78481,4.916
0.79487,4.913
0.80519,4.909
0.81579,4.905
0.82667,4.899
0.83784,4.894
0.84932,4.887
0.86111,4.880
0.87324,4.872
0.88571,4.864
0.89855,4.855
0.91176,4.845
0.92537,4.834
0.93939,4.823
0.95385,4.812
0.96875,4.799
0.98413,4.787
1.0000,4.773
1.0164,4.759
1.0333,4.744
1.0508,4.729
1.0690,4.713
1.0877,4.696
1.1071,4.679
1.1273,4.661
1.1481,4.642
1.1698,4.623
1.1923,4.604
1.2157,4.584
1.2400,4.563
1.2653,4.542
1.2917,4.520
1.3191,4.498
1.3478,4.475
1.4419,4.407
1.4762,4.381
1.5122,4.357
1.5500,4.332
1.5897,4.309
1.6316,4.285
1.6757,4.263
1.7222,4.244
1.7714,4.226
1.8235,4.210
1.8788,4.196
1.9375,4.182
2.0000,4.169

wl,k
0.20000,2.069
0.20065,2.076
0.20130,2.083
0.20195,2.091
0.20261,2.098
0.20328,2.105
0.20395,2.112
0.20462,2.119
0.20530,2.126
0.20598,2.134
0.20667,2.141
0.20736,2.148
0.20805,2.156
0.20875,2.163
0.20946,2.171
0.21017,2.178
0.21088,2.185
0.21160,2.193
0.21233,2.200
0.21306,2.208
0.21379,2.216
0.21453,2.223
0.21528,2.231
0.21603,2.238
0.21678,2.246
0.21754,2.254
0.21831,2.262
0.21908,2.269
0.21986,2.277
0.22064,2.285
0.22143,2.293
0.22222,2.301
0.22302,2.309
0.22383,2.317
0.22464,2.325
0.22545,2.333
0.22628,2.341
0.22711,2.349
0.22794,2.357
0.22878,2.365
0.22963,2.373
0.23048,2.381
0.23134,2.389
0.23221,2.398
0.23308,2.406
0.23396,2.414
0.23485,2.422
0.23574,2.431
0.23664,2.439
0.23755,2.447
0.23846,2.456
0.23938,2.464
0.24031,2.472
0.24125,2.481
0.24219,2.489
0.24314,2.498
0.24409,2.506
0.24506,2.515
0.24603,2.523
0.24701,2.532
0.24800,2.540
0.24900,2.549
0.25000,2.558
0.25101,2.566
0.25203,2.575
0.25306,2.583
0.25410,2.592
0.25514,2.601
0.25620,2.609
0.25726,2.618
0.25833,2.627
0.25941,2.636
0.26050,2.644
0.26160,2.653
0.26271,2.662
0.26383,2.670
0.26496,2.679
0.26609,2.688
0.26724,2.696
0.26840,2.705
0.26957,2.714
0.27074,2.722
0.27193,2.731
0.27313,2.740
0.27434,2.748
0.27556,2.757
0.27679,2.766
0.27803,2.774
0.27928,2.783
0.28054,2.791
0.28182,2.800
0.28311,2.808
0.28440,2.817
0.28571,2.825
0.28704,2.833
0.28837,2.842
0.28972,2.850
0.29108,2.858
0.29245,2.867
0.29384,2.875
0.29524,2.883
0.29665,2.891
0.29808,2.899
0.29952,2.907
0.30097,2.914
0.30244,2.922
0.30392,2.930
0.30542,2.937
0.30693,2.945
0.30846,2.952
0.31000,2.959
0.31156,2.967
0.31313,2.974
0.31472,2.981
0.31633,2.987
0.31795,2.994
0.31959,3.001
0.32124,3.007
