,Element,Wavelength,n,k
0,Ag,0.1879,1.07,1.212
1,Ag,0.1916,1.1,1.232
2,Ag,0.1953,1.12,1.255
3,Ag,0.1993,1.14,1.277
4,Ag,0.2033,1.15,1.296
5,Ag,0.2073,1.18,1.312
6,Ag,0.2119,1.2,1.325
7,Ag,0.2164,1.22,1.336
8,Ag,0.2214,1.25,1.342
9,Ag,0.2262,1.26,1.344
10,Ag,0.2313,1.28,1.357
11,Ag,0.2371,1.28,1.367
12,Ag,0.2426,1.3,1.378
13,Ag,0.249,1.31,1.389
14,Ag,0.2551,1.33,1.393
15,Ag,0.2616,1.35,1.387
16,Ag,0.2689,1.38,1.372
17,Ag,0.2761,1.41,1.331
18,Ag,0.2844,1.41,1.264
19,Ag,0.2924,1.39,1.161
20,Ag,0.3009,1.34,0.964
21,Ag,0.3107,1.13,0.616
22,Ag,0.3204,0.81,0.392
23,Ag,0.3315,0.17,0.829
24,Ag,0.3425,0.14,1.142
25,Ag,0.3542,0.1,1.419
26,Ag,0.3679,0.07,1.657
27,Ag,0.3815,0.05,1.864
28,Ag,0.3974,0.05,2.07
29,Ag,0.4133,0.05,2.275
30,Ag,0.4305,0.04,2.462
31,Ag,0.4509,0.04,2.657
32,Ag,0.4714,0.05,2.869
33,Ag,0.4959,0.05,3.093
34,Ag,0.5209,0.05,3.324
35,Ag,0.5486,0.06,3.586
36,Ag,0.5821,0.05,3.858
37,Ag,0.6168,0.06,4.152
38,Ag,0.6595,0.05,4.483
39,Ag,0.7045,0.04,4.838
40,Ag,0.756,0.03,5.242
41,Ag,0.8211,0.04,5.727
42,Ag,0.892,0.04,6.312
43,Ag,0.984,0.04,6.992
44,Ag,1.088,0.04,7.795
45,Ag,1.216,0.09,8.828
46,Ag,1.393,0.13,10.1
47,Ag,1.61,0.15,11.85
48,Ag,1.937,0.24,14.08
330,Al,0.00012399,0.9999946,8.241e-08
331,Al,0.00013051,0.999994,1.272e-07
332,Al,0.00013776,0.999993,1.2488e-07
333,Al,0.00015498,0.999991,1.9173e-07
334,Al,0.00017712,0.999989,3.1463e-07
335,Al,0.00020664,0.999984,5.5102e-07
336,Al,0.00024797,0.99998,1.0726e-06
337,Al,0.00030996,0.99997,2.4843e-06
338,Al,0.00035424,0.99995,4.0484e-06
339,Al,0.00041328,0.99994,7.1408e-06
340,Al,0.00049594,0.99991,1.3642e-05
341,Al,0.00061993,0.99987,3.2079e-05
342,Al,0.00065255,0.99986,3.8497e-05
343,Al,0.00068881,0.99985,4.7138e-05
344,Al,0.00072932,0.99984,5.7974e-05
345,Al,0.00074021,0.99984,6.1633e-05
346,Al,0.00077734,0.99986,7.4862e-05
347,Al,0.00078472,0.99987,7.848e-05
348,Al,0.00079274,0.9999,8.5418e-05
349,Al,0.00079376,0.99992,7.1847e-05
350,Al,0.00079478,0.99993,4.9998e-05
351,Al,0.00079529,0.99992,4.1131e-05
352,Al,0.0007958,0.99992,3.2911e-05
353,Al,0.00079785,0.99991,2.3687e-05
354,Al,0.00079887,0.99991,1.1026e-05
355,Al,0.0007999,0.99989,6.0484e-06
356,Al,0.0008051,0.99987,6.1901e-06
357,Al,0.00081569,0.99985,6.4818e-06
358,Al,0.00082657,0.99983,6.8049e-06
359,Al,0.00085507,0.99981,7.8422e-06
360,Al,0.00088561,0.99979,8.94e-06
